Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~DE-120824.PrjPcb|ReportField=ProjectFullPath~D:\ProjektiOtvoreni\Expanderi\JalousieExpander\DE-120824\DE-120824.PrjPcb|ReportField=Title~Bill of Materials For Project [DE-120824.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~163|ReportField=ReportTime~10:48:14|ReportField=ReportDate~14. 8. 2024.|ReportField=ReportDateTime~14. 8. 2024. 10:48:14|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~Braće Mulić 81|ReportField=Address2~71000 Sarajevo|ReportField=Address3~Federacija BiH|ReportField=Address4~Bosna i Hercegovina|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~eldar6776@hotmail.com|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~14. 8. 2024.|ReportField=CurrentTime~10:48:03|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\ProjektiOtvoreni\Expanderi\JalousieExpander\DE-120824\DE-120824.SchDoc|ReportField=DocumentName~DE-120824.SchDoc|ReportField=DocumentNumber~DE-120824|ReportField=DrawnBy~Eldar Dedic|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~13. 8. 2024.|ReportField=Organization~JUBERA d.o.o.|ReportField=ProjectName~DE-120824.PrjPcb|ReportField=Revision~001|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~2|ReportField=Time~|ReportField=Title~JalousieBoard|ReportField=DataSourceFileName~DE-120824.PrjPcb|ReportField=DataSourceFullPath~D:\ProjektiOtvoreni\Expanderi\JalousieExpander\DE-120824\DE-120824.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|C0603|Ceramic Chip Capacitor - Standard|C1, C2, C4, C5, C7, C9, C11, C12, C13, C14, C21, C22, C23|0603|C0603|13
2|C0805|Ceramic Chip Capacitor - Standard|C3, C6, C10|0805|C0805|3
3|100nF|Ceramic Chip Capacitor - Standard|C8, C18, C19, C20|0603|C0603|4
4|470uF|Aluminum Electrolytic Capacitor, Radial Style with Long Leads: 470uF, 25V|C15, C16|CAPPR5-10X12.5|EKA00DC347E00|2
5|22uF|Aluminum Electrolytic Capacitor, Radial Style with Long Leads: 47uF, 35V|C17|CAPPR2-5X11|EKA00AA247F00|1
6|1N4148|Schottky Barrier Diode|D1|SOD323|1PS76SB10|1
7|BTA08-600|Triacs, Silicon Bidirectional Thyristor, 3-Pin TO-220, Pb-Free, Tube|D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, D13, D14, D18, D22, D26|ONSC-TO-220-3-221A-07|BTA08-600BW3G|16
8|LED0|Blue Surface Mount Chip LED, Blue|D15|1.6X0.8X0.8|HSMB-C190|1
9|LED3|Blue Surface Mount Chip LED, Blue|D16|1.6X0.8X0.8|HSMB-C190|1
10|LED6|Blue Surface Mount Chip LED, Blue|D17, D21|1.6X0.8X0.8|HSMB-C190|2
11|LED1|Blue Surface Mount Chip LED, Blue|D19|1.6X0.8X0.8|HSMB-C190|1
12|LED4|Blue Surface Mount Chip LED, Blue|D20|1.6X0.8X0.8|HSMB-C190|1
13|LED2|Blue Surface Mount Chip LED, Blue|D23|1.6X0.8X0.8|HSMB-C190|1
14|LED5|Blue Surface Mount Chip LED, Blue|D24|1.6X0.8X0.8|HSMB-C190|1
15|LED7|Blue Surface Mount Chip LED, Blue|D25|1.6X0.8X0.8|HSMB-C190|1
16|HF25F|PCB relay 250VAC/20A 30VDC/16A|K1|HF25F|HF25F|1
17|BLM15AG121|SMD chip inductor|L1, L2|0402-A|Chip inductor|2
18|RS485|Terminal blok konektor 3,5 mm|P1|TERMINAL BLOK 2|TERMINAL BLOK 2|1
19|Header 12|Header, 12-Pin|P2, P3, P6, P7, P15, P17, P18, P19|HDR1X12|Header 12|8
20|ICSP|Header, 3-Pin|P4|HDR1X3|Header 3|1
21|Header 10|Header, 10-Pin|P5, P16|HDR1X10|Header 10|2
