Removed Pin From Net: NetName=3V3 Pin=U4-14
Added Pin To Net: NetName=GND Pin=C15-2
Added Pin To Net: NetName=GND Pin=C16-2
Added Pin To Net: NetName=GND Pin=C17-2
Added Pin To Net: NetName=GND Pin=C18-1
Added Pin To Net: NetName=GND Pin=C19-1
Added Pin To Net: NetName=GND Pin=C20-1
Added Pin To Net: NetName=GND Pin=P12-1
Added Pin To Net: NetName=NetU4_14 Pin=U4-14
Added Pin To Net: NetName=GND Pin=U8-2
Added Pin To Net: NetName=GND Pin=U9-1
Added Member To Class: ClassName=DE-120824 Member=Component U2 SN74HC08D
